date,hour,depth,value,variable
2014-07-16,7,3.5,21.080823076923078,temperature
2014-07-16,7,4,17.57066,temperature
2014-07-16,7,4.5,14.336654545454545,temperature
2014-07-16,7,5,12.032963636363636,temperature
2014-07-16,7,5.5,10.8011,temperature
2014-07-16,7,6,9.940033333333334,temperature
2014-07-16,7,6.5,9.302109090909092,temperature
2014-07-16,7,7,8.769754545454546,temperature
2014-07-16,7,7.5,8.217541666666666,temperature
2014-07-16,7,8,7.818381818181818,temperature
2014-07-16,7,8.5,7.557963636363636,temperature
2014-07-16,7,9,7.381491666666666,temperature
2014-07-16,7,9.5,7.262830769230769,temperature
2014-07-23,7,0,25.990921052631577,temperature
2014-07-23,7,0.5,25.903053846153846,temperature
2014-07-23,7,1,25.711119047619047,temperature
2014-07-23,7,1.5,25.470836842105264,temperature
2014-07-23,7,10,7.188807692307693,temperature
2014-07-23,7,10.5,7.0802499999999995,temperature
2014-07-23,7,11,6.98345,temperature
2014-07-23,7,2,25.1928,temperature
2014-07-23,7,2.5,24.350753333333333,temperature
2014-07-23,7,3,21.7172375,temperature
2014-07-23,7,3.5,19.460146666666667,temperature
2014-07-23,7,4,16.54487333333333,temperature
2014-07-23,7,4.5,13.798925,temperature
2014-07-23,7,5,11.892693333333334,temperature
2014-07-23,7,5.5,10.928071428571428,temperature
2014-07-23,7,6,10.172878571428571,temperature
2014-07-23,7,6.5,9.544685714285714,temperature
2014-07-23,7,7,8.901533333333333,temperature
2014-07-23,7,7.5,8.383369230769231,temperature
2014-07-23,7,8,7.940576923076923,temperature
2014-07-23,7,8.5,7.616542857142857,temperature
2014-07-23,7,9,7.421625,temperature
2014-07-23,7,9.5,7.291884615384616,temperature
2014-07-30,7,0,24.195328571428572,temperature
2014-07-30,7,0.5,24.1299,temperature
2014-07-30,7,1,24.004375,temperature
2014-07-30,7,1.5,23.8628,temperature
2014-07-30,7,10,7.20209375,temperature
2014-07-30,7,10.5,7.097370588235294,temperature
2014-07-30,7,11,7.0390625,temperature
2014-07-30,7,2,23.70838125,temperature
2014-07-30,7,2.5,23.3215875,temperature
2014-07-30,7,3,22.507025,temperature
2014-07-30,7,3.5,20.185333333333332,temperature
2014-07-30,7,4,16.766946666666666,temperature
2014-07-30,7,4.5,14.2995,temperature
2014-07-30,7,5,12.373725,temperature
2014-07-30,7,5.5,10.742994444444445,temperature
